wosarticle__ti,wosarticle__py,wosarticle__doc,wosarticle__di,docproject__relevant,redirect_url
Effects of digestate from anaerobically digested cattle slurry and plant materials on soil microbial community and emission of CO2 and N2O,2013.0,721227,http://dx.doi.org/10.1016/j.apsoil.2012.09.003,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S0929139312002260
Climate change mitigation by recovery of energy from the water cycle: a new challenge for water management,2012.0,134985,http://dx.doi.org/10.2166/wst.2011.820,Yes (1),https://iwaponline.com/wst/article-abstract/65/1/135/15727/Climate-change-mitigation-by-recovery-of-energy?redirectedFrom=fulltext
Towards a climate neutral water cycle,2012.0,362619,http://dx.doi.org/10.2166/wcc.2012.015,Yes (1),https://iwaponline.com/jwcc/article-abstract/3/3/163/3553/Towards-a-climate-neutral-water-cycle?redirectedFrom=fulltext
Biogas from renewable electricity - Increasing a climate neutral fuel supply,2012.0,648910,http://dx.doi.org/10.1016/j.apenergy.2011.07.024,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S0306261911004697
Biological treatment options for cyanobacteria metabolite removal - A review,2012.0,1527376,http://dx.doi.org/10.1016/j.watres.2011.11.018,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S0043135411006907
Usage of Biomass for Energetic Conversion,2011.0,426569,http://dx.doi.org/10.1002/cite.201100124,Yes (1),
CO2 emissions from biomass combustion for bioenergy: atmospheric decay and contribution to global warming,2011.0,738095,http://dx.doi.org/10.1111/j.1757-1707.2011.01102.x,Yes (1),
"Envisioning carbon capture and storage: expanded possibilities due to air capture, leakage insurance, and C-14 monitoring",2009.0,156932,http://dx.doi.org/10.1007/s10584-009-9632-0,Yes (1),https://link.springer.com/article/10.1007/s10584-009-9632-0
"Fischer-Tropsch diesel production in a well-to-wheel perspective: A carbon, energy flow and cost analysis",2009.0,423826,http://dx.doi.org/10.1016/j.enconman.2009.01.008,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S0196890409000041
Life cycle assessment of wood-based heating in Norway,2009.0,518771,http://dx.doi.org/10.1007/s11367-009-0086-4,Yes (1),https://link.springer.com/article/10.1007/s11367-009-0086-4
Palm oil and the emission of carbon-based greenhouse gases,2008.0,509148,http://dx.doi.org/10.1016/j.jclepro.2006.07.054,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S0959652606003593
Hazardous waste incineration in context with carbon dioxide,2008.0,568468,http://dx.doi.org/10.1177/0734242X07082339,Yes (1),
European Union waste management strategy and the importance of biogenic waste,2007.0,141460,http://dx.doi.org/10.1007/s10163-007-0178-9,Yes (1),https://link.springer.com/article/10.1007/s10163-007-0178-9
A Norwegian perspective on buildings and climate change,2007.0,494853,http://dx.doi.org/10.1080/09613210701269438,Yes (1),https://www.tandfonline.com/doi/abs/10.1080/09613210701269438
Intermittent renewable energy: The only future source of hydrogen?,2007.0,541248,http://dx.doi.org/10.1016/j.ijhydene.2006.12.008,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S036031990600615X
Frameworks and communication: Perspectives in tackling the climate change challenge for energy supply,1999.0,1854004,http://dx.doi.org/10.1016/B978-008043018-8/50082-5,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/B9780080430188500825
CO2 removal and fixation solar high temperature syngas generation for fuel synthesis,1997.0,271909,http://dx.doi.org/10.1016/S0196-8904(96)00298-1,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S0196890496002981
Social discounting of orthogonal capital flow rates,1997.0,1399644,http://dx.doi.org/10.1016/S0360-3199(96)00215-7,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S0360319996002157
ON THE EVALUATION OF HALOCARBON RADIATIVE FORCING AND GLOBAL WARMING POTENTIALS,1995.0,564077,http://dx.doi.org/10.1029/94JD02516,Yes (1),
