"sep=,"
wosarticle__ti,wosarticle__py,wosarticle__doc,wosarticle__di,docproject__relevant
Making Concrete Pavements Competitive by Using the Standardized Framework for Comparisons of Infrastructure Projects in Terms of Cost-Efficiency and Climate Impact,2020,5339440,http://dx.doi.org/10.2478/ncr-2020-0004,Unrated (0)
New Hydrogen Strategies of Germany and the EU and Prospects for Cooperation with Russia,2020,5339453,http://dx.doi.org/10.15211/soveurope520206576,Yes (1)
The power grid of tomorrow - scenarios and targets for 2040,2020,5339460,http://dx.doi.org/10.1007/s00502-020-00827-4,Unrated (0)
Are Industries Open for Renewable Energy?,2020,5339466,http://dx.doi.org/10.2478/rtuect-2020-0115,Unrated (0)
Co-Generation Power Plants Based on Biomass Gasification,2020,5339492,,Unrated (0)
Open letter: Poland's committed to climate neutrality and nuclear power,2020,5339497,,Unrated (0)
Energy Taxes and Emissions Trading on the Bumpy Road to a Climate Neutral EU,2020,5339517,,Mixed (3)
RISKS RELATE D TO ENERGY POLICY OF POLAND UNTIL 2040 (EPP 2040),2020,5339520,http://dx.doi.org/10.24425/ams.2020.135183,Mixed (3)
Alnatura Campus - building the Alnatura Working Environment,2020,5339521,http://dx.doi.org/10.1002/dama.202010021,Unrated (0)
European Green Deal - a challenge for the transformation of the Polish oil and gas industry,2020,5339551,http://dx.doi.org/10.18668/NG.2020.10.12,Yes (1)
Storage of hydrogen in geological structures,2020,5339554,http://dx.doi.org/10.18668/NG.2020.11.04,Yes (1)
Developing Nordic Cooperation in Renewable Electricity Policy: Exploring Views from Finland and Sweden,2020,5339578,http://dx.doi.org/10.17645/pag.v8i4.3408,Yes (1)
Impact of 15-day energy forecasts on the hydro-thermal scheduling of a future Nordic power system,2020,5339616,http://dx.doi.org/10.1016/j.energy.2019.116668,Yes (1)
The effect of winter weather on timber truck tare weights,2020,5339619,http://dx.doi.org/10.14214/sf.10385,No (2)
Fusing diameter distributions predicted by an area-based approach and individual-tree detection in coniferous-dominated forests,2020,5339620,http://dx.doi.org/10.1139/cjfr-2019-0102,Mixed (3)
Productivity in Mechanizing Early Tending in Spruce Seedling Stands,2020,5339624,http://dx.doi.org/10.5552/crojfe.2020.619,No (2)
MyMiniLautern: A Game for Experiencing the Opportunities of Mobility Change,2020,5339715,http://dx.doi.org/10.1145/3428361.3432078,No (2)
Business Models in the context of carbon mitigation: New Questions and Approaches illustrated by the Example of Energy Performance Contracting in Germany.,2020,5339716,http://dx.doi.org/10.1088/1755-1315/588/2/022062,Yes (1)
Developments in the global hydrogen market: The spectrum of hydrogen colours,2020,5339717,http://dx.doi.org/10.1016/S1464-2859(20)30546-0,Yes (1)
How does a maintenance association become climate-neutral?,2020,5339718,http://dx.doi.org/10.1007/s35152-020-0264-z,Mixed (3)
The role of Power-to-Gas and electrochemical storage systems in a climate-neutral energy system,2020,5339719,http://dx.doi.org/10.23919/AEIT50178.2020.9241118,Yes (1)
Is the climate neutrality an illusion?,2020,5339720,http://dx.doi.org/10.1109/EEM49802.2020.9221964,Yes (1)
Lanxess’ head of inorganic pigments discusses iron oxide market and becoming climate neutral by 2040,2020,5339721,,Mixed (3)
"Hot-dip finishing of warm bath - A component for climate-neutral steel and for the improvement of the CO2-footprint. Part 1: History, motivation, standards, carrier material, limit dimensions and shape tolerances",2020,5339722,,Mixed (3)
"A sustainable, climate neutral, tournament of short distances? The 2022 FIFA World Cup in Qatar",2020,5339723,,No (2)
BUILDING BLOCK FOR CLIMATE-NEUTRAL LOGISTICS,2020,5339724,,Yes (1)
Noventi initiative: Community pharmacies will become climate neutral,2020,5339725,,Mixed (3)
Going climate-neutral,2020,5339726,,Mixed (3)
The new model of circular economy for sustainable constructions,2020,5339727,,Yes (1)
"Development status, on-site experience and outlook on SF6-free high-voltage substations",2020,5339728,,Yes (1)
Reconstruction work during the corona pandemic,2020,5339729,http://dx.doi.org/10.31263/voebm.v73i3-4.5339,Mixed (3)
Aero engine concepts beyond 2030: Part 3 - experimental demonstration of technological feasibility,2020,5339730,http://dx.doi.org/10.1115/GT2020-15397,No (2)
Smart grids and data – Exploring emerging data-driven solutions for distribution system operators,2020,5339731,,Yes (1)
Creating a climate action plan at cal poly Pomona,2020,5339732,http://dx.doi.org/10.4324/9780429290275-6,Yes (1)
Options and limits for low-CO2cement production,2020,5339733,,Yes (1)
European Green Deal – legal and financial challenges of the climate change,2020,5339734,http://dx.doi.org/10.1007/s12027-020-00637-3,Yes (1)
Modular Modeling and Optimized Scheduling of Building Energy Systems Based on Mixed Integer Programming,2020,5339735,http://dx.doi.org/10.1007/978-3-030-46714-2_3,Mixed (3)
Hybrid roof and fagade elements as low-exergy components in climate-neutral building and community concepts,2020,5339736,,Mixed (3)
Climate neutral waste management options,2020,5339737,http://dx.doi.org/10.18412/1816-0395-2020-2-64-70,Yes (1)
German Energiewendedifferent visions for a (nearly) climate neutral building sector in 2050,2019,1636642,http://dx.doi.org/10.1007/s12053-018-9660-6,Unrated (0)
Conceptualization of an Indicator System for Assessing the Sustainability of the Bioeconomy,2019,1905872,http://dx.doi.org/10.3390/su11020443,Yes (1)
Projected decrease in wintertime bearing capacity on different forest and soil types in Finland under a warming climate,2019,1991811,http://dx.doi.org/10.5194/hess-23-1611-2019,Mixed (3)
How and to which extent can the gas sector contribute to a climate-neutral European energy system? A qualitative approach,2019,2113839,http://dx.doi.org/10.1186/s13705-019-0207-2,Yes (1)
Exploring the microfoundations of end-user interests toward co-creating renewable energy technology innovations,2019,2276471,http://dx.doi.org/10.1016/j.jclepro.2019.04.296,Mixed (3)
"Progress and Stagnation of Renovation, Energy Efficiency, and Gentrification of Pre-War Walk-Up Apartment Buildings in Amsterdam Since 1995",2019,2276794,http://dx.doi.org/10.3390/su11092590,Unrated (0)
Utilization of Electrical Energy Storage With Power-Based Distribution Tariffs in Households,2019,2276863,http://dx.doi.org/10.1109/TPWRS.2018.2879612,Mixed (3)
The role of science in forest policy-Experiences by EFI,2019,2282320,http://dx.doi.org/10.1016/j.forpol.2019.05.014,Yes (1)
Prospective Life Cycle Assessment of Large-Scale Biochar Production and Use for Negative Emissions in Stockholm,2019,2337822,http://dx.doi.org/10.1021/acs.est.9b01615,Yes (1)
Principles for the development and use of benchmarks for life-cycle related environmental impacts of buildings,2019,2349250,,Unrated (0)
How to Achieve a More Resource-Efficient and Climate-Neutral Energy System by 2030? Views of Nordic Stakeholders Palabras clave,2019,2368702,http://dx.doi.org/10.1111/ropr.12347,Yes (1)
Flobsion-Flexible Option with Benefit Sharing,2019,2391558,http://dx.doi.org/10.3390/ijfs7020022,Yes (1)
Tourism and temperature effects on the electricity consumption of the hospitality sector,2019,2509236,http://dx.doi.org/10.1016/j.jclepro.2019.118168,Yes (1)
Energy Efficiency in European Ports: State-Of-Practice and Insights on the Way Forward,2019,2551268,http://dx.doi.org/10.3390/su11184952,Unrated (0)
Climate Neutral Production determines the Way The Danish Agriculture and Food Industry faces the Challenge of Sustainability,2019,2609238,,Mixed (3)
Energy-system modelling of the EU strategy towards climate-neutrality,2019,2641985,http://dx.doi.org/10.1016/j.enpol.2019.110960,Unrated (0)
Incentivising innovation in the construction sector: the role of consulting contracts,2019,2657513,http://dx.doi.org/10.5130/AJCEB.v19i2.6613,No (2)
Backbone-An Adaptable Energy Systems Modelling Framework,2019,2707176,http://dx.doi.org/10.3390/en12173388,Mixed (3)
Pathways to climate-neutral shipping: A Danish case study,2019,3170862,http://dx.doi.org/10.1016/j.energy.2019.116009,Yes (1)
From path dependence to policy mixes for Nordic electric mobility: Lessons for accelerating future transport transitions,2019,3171052,http://dx.doi.org/10.1007/s11077-019-09361-3,Yes (1)
Effects of intensified silviculture on timber production and its economic profitability in boreal Norway spruce and Scots pine stands under changing climatic conditions,2019,3323036,http://dx.doi.org/10.1093/forestry/cpz043,No (2)
Enhancing Protein Recovery in Green Biorefineries by Lignosulfonate-Assisted Precipitation,2019,3788473,http://dx.doi.org/10.3389/fsufs.2019.00112,Mixed (3)
thyssenkrupp sets clear targets: Group aims to be climate neutral by 2050-30 % emissions reduction planned for 2030,2019,3790732,,Mixed (3)
Facilitate Knowledge Sharing by Leading Ethically: the Role of Organizational Concern and Impression Management Climate,2019,3794121,http://dx.doi.org/10.1007/s10869-018-9555-8,No (2)
Danish Crown The Group wants to become climate neutral,2019,3798414,,Unrated (0)
Assessing biodiversity impacts in life cycle assessment framework - Comparing approaches based on species richness and ecosystem indicators in the case of Finnish boreal forests,2019,3800475,http://dx.doi.org/10.1016/j.jclepro.2019.117641,Unrated (0)
Trackable CEMB-Klean Cotton Transgenic Technology: Afforadable Climate Neutral Agri-biotech Industrialization for Developing Countries,2019,3801074,,Mixed (3)
New business models to support sustainable development: The case of energy-efficiency measures in buildings,2019,4492250,http://dx.doi.org/10.1088/1755-1315/323/1/012166,Yes (1)
Hoppet - the first fossil free preschool,2019,4917328,http://dx.doi.org/10.1088/1755-1315/323/1/012159,Unrated (0)
2 DEGREES - understanding the contribution of cities to a carbon neutral society,2019,5245178,http://dx.doi.org/10.1088/1755-1315/323/1/012072,Unrated (0)
Simulation tool for planning smart urban districts in a sustainable energy supply - integrating several sectors in high resolution,2019,5339534,http://dx.doi.org/10.1088/1742-6596/1343/1/012110,Unrated (0)
A Comprehensive Persona Template to Understand Citizens' Mobility Needs,2019,5339559,http://dx.doi.org/10.1007/978-3-030-22666-4_22,No (2)
The AXIOM approach for probabilistic and causal modeling with expert elicited inputs,2019,5339596,http://dx.doi.org/10.1016/j.techfore.2018.10.006,No (2)
"Nearest neighbor imputation of logwood volumes using bi-temporal ALS, multispectral ALS and aerial images",2019,5339597,http://dx.doi.org/10.1080/02827581.2019.1589567,No (2)
Soil as a Basis to Create Enabling Conditions for Transitions Towards Sustainable Land Management as a Key to Achieve the SDGs by 2030,2019,5339621,http://dx.doi.org/10.3390/su11236792,Mixed (3)
Industrial Climate Neutrality in the EU: Outline of an Integrated Industrial Green Deal,2019,5339738,http://dx.doi.org/10.1007/s10272-019-0848-6,Yes (1)
"The EU Electricity Sector Will Need Reform, Again",2019,5339739,http://dx.doi.org/10.1007/s10272-019-0849-5,Yes (1)
Ten personal reflections on the difficult journey towards climate neutrality,2019,5339740,http://dx.doi.org/10.4324/9789276082569-10,Yes (1)
Production of agricultural biogas from waste – An element of socially responsible actions in the food sector,2019,5339741,http://dx.doi.org/10.32933/ActaInnovations.33.5,Yes (1)
Reducing greenhouse gases: Climate-neutral heating with biogas,2019,5339742,,Mixed (3)
The challenge of improving energy efficiency in the building sector: Taking an in-depth look at decision-making on investments in energy-efficient refurbishments,2019,5339743,http://dx.doi.org/10.1016/B978-0-12-818567-4.00002-8,Yes (1)
"Is 1+1 more than 2? The German-Japanese Energy Transition Council (GJETC), a role model for bi-national cooperation",2019,5339744,,Yes (1)
Introduction : A critical overview of the European National Energy and Climate Plans,2019,5339745,http://dx.doi.org/10.3280/EFE2019-001002,Yes (1)
Influence of building-integrated photovoltaics in facades for the energetic evaluation of buildings. Part 1: Potential of facade integration of photovoltaics.,2018,881579,http://dx.doi.org/10.1002/bapi.201810007,Mixed (3)
Influence of Building Integrated Photovoltaic in Facades for the Energetic Evaluation of Buildings Part 2: Operating Performance of Building Integrated Photovoltaic in Facades in the Field - Free-Field Measurements,2018,892144,http://dx.doi.org/10.1002/bapi.201810009,Yes (1)
Sustainability Transitions at the Frontline. Lock-in and Potential for Change in the Local Planning Arena,2018,898269,http://dx.doi.org/10.3390/su10030840,Yes (1)
"Effects of CMIP5 Projections on Volume Growth, Carbon Stock and Timber Yield in Managed Scots Pine, Norway Spruce and Silver Birch Stands under Southern and Northern Boreal Conditions",2018,899030,http://dx.doi.org/10.3390/f9040208,Yes (1)
Investigating the Linear Dependence of Direct and Indirect Radiative Forcing on Emission of Carbonaceous Aerosols in a Global Climate Model,2018,900011,http://dx.doi.org/10.1002/2017JD027244,Mixed (3)
Cross-impact analysis of Finnish electricity system with increased renewables: Long-run energy policy challenges in balancing supply and consumption,2018,901153,http://dx.doi.org/10.1016/j.enpol.2018.04.009,Unrated (0)
The world's first carbon neutral coffee: Lessons on certification and innovation from a pioneer case in Costa Rica,2018,901286,http://dx.doi.org/10.1016/j.jclepro.2018.03.226,Yes (1)
Coal with Carbon Capture and Sequestration is not as Land Use Efficient as Solar Photovoltaic Technology for Climate Neutral Electricity Production,2018,922095,http://dx.doi.org/10.1038/s41598-018-31505-3,Yes (1)
Smart cities: Under-gridding the sustainability of city-districts as energy efficient-low carbon zones,2018,1002370,http://dx.doi.org/10.1016/j.jclepro.2016.12.054,Yes (1)
Methods for optimising energy efficiency and renovation processes of complex public properties,2018,1056026,http://dx.doi.org/10.1016/j.enbuild.2017.12.060,Yes (1)
Beyond economicsunderstanding the decision-making of German small private landlords in terms of energy efficiency investment,2018,1083216,http://dx.doi.org/10.1007/s12053-017-9567-7,Yes (1)
The Energy & Raw Materials Factory: Role and Potential Contribution to the Circular Economy of the Netherlands,2018,1097455,http://dx.doi.org/10.1007/s00267-018-0995-8,Yes (1)
Integrating fast pyrolysis reactor with combined heat and power plant improves environmental and energy efficiency in bio-oil production,2018,1283915,http://dx.doi.org/10.1016/j.jclepro.2018.02.143,Yes (1)
Resistance classes for concrete - Consideration of a promising new concept,2018,1286710,http://dx.doi.org/10.1002/best.201700091,Yes (1)
Environmental impacts and risks of the national renewable energy targets - A review and a qualitative case study from Finland,2018,1290548,http://dx.doi.org/10.1016/j.rser.2017.05.146,Yes (1)
Energy recovery from the water cycle: Thermal energy from drinking water,2018,1297865,http://dx.doi.org/10.1016/j.energy.2018.08.097,Unrated (0)
Modernization strategy for a carbon-neutral hospital,2018,1299706,http://dx.doi.org/10.1002/bapi.201810024,Yes (1)
Policy Influence on Consumers' Evolution into ProsumersEmpirical Findings from an Exploratory Survey in Europe,2018,1302912,http://dx.doi.org/10.3390/su10010186,Unrated (0)
Regional balance of forest chip supply and demand in Finland in 2030,2018,1447766,http://dx.doi.org/10.14214/sf.9902,Mixed (3)
Realized potential of energy generation systems in residential buildings meeting the efficiency house plus standard,2018,1482173,http://dx.doi.org/10.1002/bapi.201800019,Unrated (0)
Identifying business opportunities for green innovations: A quantitative foundation for accelerated micro-fuel cell diffusion in residential buildings,2018,1552055,http://dx.doi.org/10.1016/j.egyr.2017.12.002,Yes (1)
Sensitivity Assessment of Microgrid Investment Options to Guarantee Reliability of Power Supply in Rural Networks as an Alternative to Underground Cabling,2018,1563079,http://dx.doi.org/10.3390/en11102831,No (2)
Microgrid as a Cost-Effective Alternative to Rural Network Underground Cabling for Adequate Reliability,2018,1563090,http://dx.doi.org/10.3390/en11081978,No (2)
Effects of turbine technology and land use on wind power resource potential,2018,1563128,http://dx.doi.org/10.1038/s41560-018-0137-9,Mixed (3)
Evaluating social sustainability of bioeconomy value chains through integrated use of local and global methods,2018,1578453,http://dx.doi.org/10.1016/j.biombioe.2017.12.019,Unrated (0)
Evaluation and Quantification of the Range Extension of Battery Powered Electric Vehicles in Winter by Using a Separate Powered Heating Unit,2018,1906192,,Mixed (3)
"COMMUNITY, CAMPUS, AND CLIMATE AT CENTRAL COMMUNITY COLLEGE-3C INITIATIVE",2018,2528276,http://dx.doi.org/10.3992/1943-4618.13.1.139,Yes (1)
UNIVERSITY CAMPUS SUSTAINABILITY MANAGEMENT: SEEKING A BREAKTHROUGH IN GERMANY,2018,2545868,,Unrated (0)
Energy Prosumers' Role in Accelerating Sustainability - an Empirical Study in Five European Countries,2018,2572373,,Unrated (0)
"LINKING 3D BUILDING MODELS, MAPS AND ENERGY-RELATED DATA IN A WEB-BASED VISUALIZATION SYSTEM",2018,2631300,http://dx.doi.org/10.5194/isprs-annals-IV-4-W7-129-2018,No (2)
Power ramp rate capabilities of a 5 kW proton exchange membrane fuel cell system with discrete ejector control,2018,2789740,http://dx.doi.org/10.1016/j.jpowsour.2018.01.090,Mixed (3)
Long-term impact of variable generation and demand side flexibility on thermal power generation,2018,3088987,http://dx.doi.org/10.1049/iet-rpg.2017.0107,No (2)
Recycling processes and quality of secondary materials: Food for thought for waste-management-oriented life cycle assessment studies,2018,5339576,http://dx.doi.org/10.1016/j.wasman.2018.03.001,Mixed (3)
"The Next Chapter in the Saga of Renewable Energy Support Schemes: Still ""a Certain Degree of Mystery"" after Essent Belgium II",2018,5339593,,No (2)
EXIT: An alternative approach for structural cross-impact modeling and analysis,2018,5339610,http://dx.doi.org/10.1016/j.techfore.2018.06.046,No (2)
Waiting for the sun - can temporal flexibility in BEV charging avoid carbon emissions?,2018,5339746,http://dx.doi.org/10.1186/s42162-018-0026-2,Yes (1)
First 145 kV Gas-insulated Switchgear with climate-neutral insulating gas and vacuum interrupter as an alternative to SF6,2018,5339747,,Mixed (3)
Achieving a Climate-Neutral Campus: A Psychological Analysis of the Participation Process with the Stage Model of Participation,2018,5339748,http://dx.doi.org/10.1007/978-3-319-67122-2_13,Unrated (0)
Comparative study on effects of digestate and cattle slurry application on N dynamics in fertilized soil,2018,5339749,http://dx.doi.org/10.22616/ERDev2018.17.N367,Unrated (0)
Environmental assessment of biomass gasification combined heat and power plants with absorptive and adsorptive carbon capture units in Norway,2017,222083,http://dx.doi.org/10.1016/j.ijggc.2016.11.025,Yes (1)
"Does infill outperform climate-adaptive growth policies in meeting sustainable urbanization goals? A scenario-based study in California, USA",2017,271294,http://dx.doi.org/10.1016/j.landurbplan.2016.08.013,Yes (1)
Strategic leadership for sustainability by higher education: the American College & University Presidents' Climate Commitment,2017,273289,http://dx.doi.org/10.1016/j.jclepro.2015.08.077,Yes (1)
"Environmental friendly food. Choice experiment to assess consumer's attitude toward ""climate neutral"" milk: the role of communication",2017,299047,http://dx.doi.org/10.1016/j.jclepro.2016.05.125,Unrated (0)
Energy challenges: isolating results due to behavior change,2017,347951,http://dx.doi.org/10.1108/IJSHE-08-2015-0144,Yes (1)
The potential role of forest management in Swedish scenarios towards climate neutrality by mid century,2017,540561,http://dx.doi.org/10.1016/j.foreco.2016.07.015,Yes (1)
Is enhanced biodiversity protection conflicting with ambitious bioenergy targets in eastern Finland?,2017,657409,http://dx.doi.org/10.1016/j.jenvman.2016.10.065,Unrated (0)
Sustainability assessment tools - their comprehensiveness and utilisation in company-level sustainability assessments in Finland,2017,727343,http://dx.doi.org/10.1080/13504509.2016.1204636,No (2)
Expert Panel Weighting and Aggregation of the Sustainable Society Index (SSI) 2010-a Decision Analysis Approach,2017,756931,http://dx.doi.org/10.1002/sd.1659,Mixed (3)
Review on available biogas upgrading technologies and innovations towards advanced solutions,2017,772187,http://dx.doi.org/10.1016/j.jclepro.2017.06.045,Yes (1)
Life cycle tools combined with multi-criteria and participatory methods for agricultural sustainability: Insights from a systematic and critical review,2017,772810,http://dx.doi.org/10.1016/j.scitotenv.2017.03.284,No (2)
Imagining the carbon neutral city: The (post)politics of time and space,2017,790342,http://dx.doi.org/10.1177/0308518X16680617,Yes (1)
"Considerations on the future biomass production potential of Iceland, and what role that could have in future fuel supply and carbon balances",2017,792768,http://dx.doi.org/10.1080/10549811.2017.1345684,Unrated (0)
Making climate change public? A dramaturgically inspired case-study of learning through transition management,2017,797859,http://dx.doi.org/10.1504/IJGW.2017.10005889,Yes (1)
Finland's energy system for 2030 as envisaged by expert stakeholders,2017,1024847,http://dx.doi.org/10.1016/j.esr.2017.09.007,No (2)
"New exergy metrics for energy, environment, and economy nexus and optimum design model for nearly-zero exergy airport (nZEXAP) systems",2017,1075663,http://dx.doi.org/10.1016/j.energy.2017.04.129,Mixed (3)
Indicators and tools for assessing sustainability impacts of the forest bioeconomy,2017,1337179,http://dx.doi.org/10.1186/s40663-017-0089-8,Yes (1)
Uranium from Africa - An overview on past and current mining activities: Re-appraising associated risks and chances in a global context,2017,1372078,http://dx.doi.org/10.1016/j.jafrearsci.2016.12.004,Yes (1)
Climate-neutral and sustainable campus Leuphana University of Lueneburg,2017,1526961,http://dx.doi.org/10.1016/j.energy.2017.08.039,Yes (1)
"Green, circular, bio economy: A comparative analysis of sustainability avenues",2017,1601301,http://dx.doi.org/10.1016/j.jclepro.2017.09.053,Yes (1)
"Towards zero climate emissions, zero waste, and one planet living - Testing the applicability of three indicators in Finnish cities",2017,1634404,http://dx.doi.org/10.1016/j.spc.2017.02.004,Yes (1)
Prosumer Centric Innovation System and how it is influenced by Multi-Regime Interactions: Exploratory Interviews,2017,1636464,,Mixed (3)
"Understanding consumers' renewable energy behaviour beyond ""homo economicus"": An exploratory survey in four European countries",2017,1673166,http://dx.doi.org/10.1109/EEM.2017.7981932,Yes (1)
Aspects of Advancement of Distribution Tariffs for Small Consumers in Finland,2017,1673203,http://dx.doi.org/10.1109/EEM.2017.7981937,Mixed (3)
Attractiveness of demand response in the Nordic electricity market - present state and future prospects,2017,1673276,,Unrated (0)
Determination of biomass content in combusted municipal waste and associated CO2 emissions in Estonia,2017,1824390,http://dx.doi.org/10.1016/j.egypro.2017.09.059,Yes (1)
Sustainable Electric Vehicle - Prosumer Framework and Policy Mix,2017,1883616,,Unrated (0)
"Stealth democracy, elitism, and citizenship in Finnish energy policy",2017,1972742,http://dx.doi.org/10.1016/j.erss.2017.06.022,No (2)
Area development 3.0: The Circular Approach,2017,2606123,,No (2)
Sensitivity of electricity prices in energy-only markets with large amounts of zero marginal cost generation,2017,2714324,http://dx.doi.org/10.1109/EEM.2017.7981893,No (2)
"Discrete ejector control solution design, characterization, and verification in a 5 kW PEMFC system",2017,2847708,http://dx.doi.org/10.1016/j.ijhydene.2017.05.151,No (2)
Utilization of District Heating Networks to Provide Flexibility in CHP Production,2017,2858559,http://dx.doi.org/10.1016/j.egypro.2017.05.077,No (2)
Operational experiences of PEMFC pilot plant using low grade hydrogen from sodium chlorate production process,2017,2881135,http://dx.doi.org/10.1016/j.ijhydene.2017.09.056,No (2)
"Homogenization and trend analysis of monthly mean and maximum wind speed time series in Finland, 1959-2015",2017,5339598,http://dx.doi.org/10.1002/joc.5124,No (2)
Russian nuclear energy diplomacy in Finland and Hungary,2017,5339600,http://dx.doi.org/10.1080/15387216.2017.1396905,No (2)
Decades of EU energy policy: towards politically driven markets,2017,5339611,http://dx.doi.org/10.1093/jwelb/jwx027,Yes (1)
Environmentally sustainable innovations in offshore shipping: A comparative case study,2017,5339750,http://dx.doi.org/10.24840/2183-0606_005.001_0008,Unrated (0)
Statistical presentation: How big is the proportion of climate-neutral fuels in CHP and district heating?,2017,5339751,,Unrated (0)
German Energiewende and the heating market - Impact and limits of policy,2016,122951,http://dx.doi.org/10.1016/j.enpol.2016.03.041,Unrated (0)
Elicitation formats and the WTA/WTP gap: A study of climate neutral foods,2016,212015,http://dx.doi.org/10.1016/j.foodpol.2016.03.001,Yes (1)
Carbon balance for wood production from sustainably managed forests,2016,219132,http://dx.doi.org/10.1016/j.biombioe.2016.05.025,Yes (1)
Selection and prioritization of mitigation measures to realize climate neutral operation of a water cycle company,2016,281539,http://dx.doi.org/10.2166/wcc.2015.026,Yes (1)
What can be learned from practical cases of green economy? -studies from five European countries,2016,463164,http://dx.doi.org/10.1016/j.jclepro.2016.08.071,Mixed (3)
"Well-to-wheel analysis of bio-methane via gasification, in heavy duty engines within the transport sector of the European Union",2016,555511,http://dx.doi.org/10.1016/j.apenergy.2016.02.001,Unrated (0)
"Climate action plan(+): energy self-sufficient landfill gas treatment with heat recovery and climate neutral internal powered supply by the example of the landfill Bengelbruck, Germany",2016,590188,,Yes (1)
Heavy snow loads in Finnish forests respond regionally asymmetrically to projected climate change,2016,667974,http://dx.doi.org/10.5194/nhess-16-2259-2016,Mixed (3)
Determining national greenhouse gas emissions from waste-to-energy using the Balance Method,2016,668713,http://dx.doi.org/10.1016/j.wasman.2016.01.025,Yes (1)
Global warming potentials of stemwood used for energy and materials in Southern Finland: differentiation of impacts based on type of harvest and product lifetime,2016,670408,http://dx.doi.org/10.1111/gcbb.12244,Mixed (3)
Risk of large-scale fires in boreal forests of Finland under changing climate,2016,723767,http://dx.doi.org/10.5194/nhess-16-239-2016,No (2)
Linking development to climate adaptation: Leveraging generic and specific capacities to reduce vulnerability to drought in NE Brazil,2016,1254010,http://dx.doi.org/10.1016/j.gloenvcha.2016.05.001,Unrated (0)
A Better Governance for a Better Future,2016,1818020,http://dx.doi.org/10.6531/JFS.2016.20(3).A79,Unrated (0)
Crossing the chasm in Dutch greenhouse horticulture: the case of the New Cultivation concept,2016,1852364,http://dx.doi.org/10.17660/ActaHortic.2016.1132.10,Yes (1)
Climate Policy of the European Union: What to Expect from the Paris Agreement?,2016,1880523,,Yes (1)
Climate Neutrality - Towards An Ethical Conception of Climate Neutrality,2016,2559768,http://dx.doi.org/10.1080/21550085.2016.1226241,Yes (1)
Evaluation of State-based controlled STATCOM for DFIG-based WECS during Voltage Sags,2016,2594848,,Unrated (0)
Forest Products Markets under Change: Review and Research Implications,2016,2616507,http://dx.doi.org/10.1007/s40725-016-0042-z,Yes (1)
Joint Purchases of US LNG by European Consortiums: Potential Antitrust Issues,2016,5339599,http://dx.doi.org/10.1093/jwelb/jww027,No (2)
INCORPORATING MCDS AND VOTING INTO SWOT - BASIC IDEA AND EXPERIENCES,2016,5339605,http://dx.doi.org/10.5937/sjm11-9661,No (2)
Comfortable and climate neutralising eco homes,2016,5339752,,Unrated (0)
Extensive Investigation of a Common Rail Diesel Injector Regarding Injection Characteristics and the Resulting Influences on the Dual Fuel Pilot Injection Combustion Process,2016,5339753,http://dx.doi.org/10.4271/2016-01-0780,Unrated (0)
"Think big, live green: Community-specific sustainability engagement campaigns",2016,5339754,http://dx.doi.org/10.1007/978-3-319-26866-8_14,Unrated (0)
Changing energy behavior through community based social marketing,2016,5339755,http://dx.doi.org/10.1007/978-3-319-26866-8_16,Unrated (0)
Can we produce carbon and climate neutral forest bioenergy?,2015,54881,http://dx.doi.org/10.1111/gcbb.12134,Yes (1)
Lost in Transition or Geared for the S-Curve? An Analysis of Flemish Transition Trajectories with a Focus on Energy Use and Buildings,2015,90302,http://dx.doi.org/10.3390/su7032415,Unrated (0)
Anaerobic digestates lower N2O emissions compared to cattle slurry by affecting rate and product stoichiometry of denitrification - An N2O isotopomer case study,2015,106329,http://dx.doi.org/10.1016/j.soilbio.2015.01.021,Yes (1)
Biomass Energy and Climate Neutrality: The Case of the Northern Forest,2015,363682,http://dx.doi.org/10.3368/le.91.2.197,Yes (1)
Natural gas as a marine fuel,2015,560173,http://dx.doi.org/10.1016/j.enpol.2015.08.027,Yes (1)
The effect of biomass harvesting on greenhouse gas emissions from a rewetted temperate fen,2015,690248,http://dx.doi.org/10.1111/gcbb.12214,Unrated (0)
Students as change agents in a town-wide sustainability transformation: the Oberlin Project at Oberlin College,2015,702746,http://dx.doi.org/10.1016/j.cosust.2015.07.005,Yes (1)
"Potential impact of climatic variability on the epidemiology of dengue in Risaralda, Colombia, 2010-2011",2015,722405,http://dx.doi.org/10.1016/j.jiph.2014.11.005,Unrated (0)
Zero emission targets as long-term global goals for climate protection,2015,725505,http://dx.doi.org/10.1088/1748-9326/10/10/105007,Yes (1)
Climate Neutral Agri-Food Products in Relation to Sustainable Supply Chain,2015,1736617,,Yes (1)
AGRICULTURAL BIOGAS PLANTS - ENERGY BALANCE,2015,1821053,,Unrated (0)
Ways to a climate-neutral inventory of residential buildings,2015,5339756,,Unrated (0)
Effects of silviculture intensity on plant diversity response patterns in young managed northern temperate and boreal forests,2014,149821,http://dx.doi.org/10.2980/21-(3-4)-3710,Unrated (0)
Economic and environmental assessment of liquefied natural gas as a supplemental aircraft fuel,2014,587342,http://dx.doi.org/10.1016/j.paerosci.2013.12.002,Yes (1)
A climate of change: A transition approach for climate neutrality in the city of Ghent (Belgium),2014,679497,http://dx.doi.org/10.1016/j.scs.2013.06.001,Yes (1)
